Date;HomeTeamid;HomeTeamName;AwayTeamId;AwayTeamName;HomeGoals;AwayGoals;FullTimeResult;AverageHomeWinOdd;AverageDrawWinOdd;AverageAwayWinOdd;AvgOver2_5;AvgUnder2_5;Div
14/08/2010;66;Aston Villa;48;West Ham;3;0;H;2;3.3;4;2.01;1.75;39;
14/08/2010;67;Blackburn;45;Everton;1;0;H;2.88;3.25;2.5;2.08;1.7;39;
14/08/2010;68;Bolton;36;Fulham;0;0;D;2.2;3.3;3.4;2.09;1.69;39;
14/08/2010;49;Chelsea;60;West Brom;6;0;H;1.17;7;17;1.49;2.49;39;
14/08/2010;746;Sunderland;54;Birmingham;2;2;D;2.1;3.3;3.6;2.16;1.65;39;
14/08/2010;47;Tottenham;50;Man City;0;0;D;2.4;3.3;3;1.91;1.84;39;
14/08/2010;61;Wigan;1356;Blackpool;0;4;A;1.83;3.5;4.5;2.11;1.68;39;
14/08/2010;39;Wolves;75;Stoke;2;1;H;2.3;3.25;3.2;2.25;1.6;39;
15/08/2010;40;Liverpool;42;Arsenal;1;1;D;2.5;3.25;2.88;2.21;1.62;39;
16/08/2010;33;Man United;34;Newcastle;3;0;H;1.25;5.5;15;1.72;2.05;39;
21/08/2010;42;Arsenal;1356;Blackpool;6;0;H;1.17;7;19;1.42;2.69;39;
21/08/2010;54;Birmingham;67;Blackburn;2;1;H;2.2;3.25;3.4;2.27;1.59;39;
21/08/2010;45;Everton;39;Wolves;1;1;D;1.5;4;7;1.94;1.81;39;
21/08/2010;75;Stoke;47;Tottenham;1;2;A;3.4;3.3;2.2;2.18;1.64;39;
21/08/2010;60;West Brom;746;Sunderland;1;0;H;2.5;3.25;2.88;2.11;1.69;39;
21/08/2010;48;West Ham;68;Bolton;1;3;A;2.25;3.3;3.25;1.99;1.77;39;
21/08/2010;61;Wigan;49;Chelsea;0;6;A;15;6;1.22;1.61;2.2;39;
22/08/2010;36;Fulham;33;Man United;2;2;D;6;4;1.57;1.94;1.82;39;
22/08/2010;34;Newcastle;66;Aston Villa;6;0;H;3.2;3.25;2.3;2.11;1.69;39;
23/08/2010;50;Man City;40;Liverpool;3;0;H;2.38;3.25;3.1;2.2;1.62;39;
28/08/2010;67;Blackburn;42;Arsenal;1;2;A;6;4;1.57;1.81;1.95;39;
28/08/2010;1356;Blackpool;36;Fulham;2;2;D;3.2;3.25;2.3;1.95;1.82;39;
28/08/2010;49;Chelsea;75;Stoke;2;0;H;1.11;9;23;1.35;2.99;39;
28/08/2010;33;Man United;48;West Ham;3;0;H;1.14;8;19;1.41;2.73;39;
28/08/2010;47;Tottenham;61;Wigan;0;1;A;1.25;5.75;13;1.5;2.48;39;
28/08/2010;39;Wolves;34;Newcastle;1;1;D;2.4;3.2;3.1;2.16;1.66;39;
29/08/2010;66;Aston Villa;45;Everton;1;0;H;2.5;3.25;2.88;2.07;1.71;39;
29/08/2010;68;Bolton;54;Birmingham;2;2;D;2.1;3.3;3.6;2.12;1.67;39;
29/08/2010;40;Liverpool;60;West Brom;1;0;H;1.22;6;15;1.58;2.28;39;
29/08/2010;746;Sunderland;50;Man City;1;0;H;4.5;3.5;1.83;1.99;1.77;39;
11/09/2010;42;Arsenal;68;Bolton;4;1;H;1.25;5.5;13;1.49;2.51;39;
11/09/2010;45;Everton;33;Man United;3;3;D;4.2;3.4;1.91;1.99;1.78;39;
11/09/2010;36;Fulham;39;Wolves;2;1;H;1.83;3.5;4.5;2.07;1.72;39;
11/09/2010;50;Man City;67;Blackburn;1;1;D;1.33;5;10;1.67;2.13;39;
11/09/2010;34;Newcastle;1356;Blackpool;0;2;A;1.57;4;6;1.69;2.11;39;
11/09/2010;60;West Brom;47;Tottenham;1;1;D;3.75;3.25;2.1;1.94;1.83;39;
11/09/2010;48;West Ham;49;Chelsea;1;3;A;10;5;1.33;1.54;2.38;39;
11/09/2010;61;Wigan;746;Sunderland;1;1;D;2.5;3.25;2.88;2.1;1.69;39;
12/09/2010;54;Birmingham;40;Liverpool;0;0;D;3.1;3.2;2.4;2.2;1.63;39;
13/09/2010;75;Stoke;66;Aston Villa;2;1;H;2.5;3.25;2.88;2.21;1.62;39;
18/09/2010;66;Aston Villa;68;Bolton;1;1;D;1.8;3.6;4.5;1.89;1.86;39;
18/09/2010;67;Blackburn;36;Fulham;1;1;D;2;3.3;4;2.09;1.7;39;
